tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,64
45,76
46,91
47,107
48,124
49,142
50,162
51,182
52,201
53,220
54,245
55,269
56,294
57,321
58,348
59,377
60,408
61,439
62,471
63,505
64,541
65,577
66,614
67,651
68,691
69,731
70,773
71,817
72,862
73,911
74,960
75,1008
76,1058
77,1109
78,1162
79,1214
80,1269
81,1325
82,1381
83,1434
84,1493
85,1551
86,1609
87,1669
88,1730
89,1787
90,1838
91,1881
92,1917
93,1948
94,2018
95,2083
96,2139
97,2187
98,2228
99,2263
100,2292
101,2317
102,2338
103,2356
104,2419
105,2472
106,2517
107,2556
108,2588
109,2615
110,2637
111,2656
112,2672
113,2685
114,2744
115,2794
116,2835
117,2870
118,2899
119,2922
120,2942
121,2958
122,2971
123,2982
124,3040
125,3087
126,3126
127,3158
128,3184
129,3205
130,3223
131,3237
132,3249
133,3259
134,3313
135,3357
136,3394
137,3424
138,3449
139,3469
140,3485
141,3499
142,3510
143,3519
144,3572
145,3615
146,3650
147,3679
148,3702
149,3720
150,3735
151,3747
152,3757
153,3765
154,3817
155,3858
156,3892
157,3919
158,3941
159,3958
160,3972
161,3983
162,3992
163,3999
164,4049
165,4089
166,4121
167,4147
168,4168
169,4185
170,4198
171,4208
172,4216
173,4223
174,4272
175,4311
176,4342
177,4367
178,4387
179,4402
180,4414
181,4424
182,4432
183,4438
184,4486
185,4524
186,4554
187,4578
188,4597
189,4612
190,4624
191,4633
192,4640
193,4646
194,4692
195,4728
196,4757
197,4780
198,4798
199,4812
200,4823
201,4832
202,4839
203,4845
204,4890
205,4926
206,4954
207,4976
208,4993
209,5006
210,5016
211,5024
212,5031
213,5037
214,5081
215,5116
216,5143
217,5164
218,5180
219,5193
220,5203
221,5211
222,5217
223,5223
224,5266
225,5300
226,5327
227,5347
228,5363
229,5375
230,5385
231,5392
232,5398
233,5404
234,5447
235,5480
236,5506
237,5526
238,5541
239,5553
240,5562
241,5569
242,5575
243,5581
244,5623
245,5655
246,5680
247,5699
248,5714
249,5725
250,5734
251,5740
252,5746
253,5752
254,5792
255,5824
256,5849
257,5867
258,5881
259,5892
260,5900
261,5906
262,5912
263,5918
264,5958
265,5990
266,6014
267,6032
268,6046
269,6056
270,6064
271,6070
272,6076
273,6082
274,6121
275,6152
276,6175
277,6193
278,6206
279,6216
280,6224
281,6230
282,6236
283,6242
284,6281
285,6311
286,6334
287,6351
288,6364
289,6374
290,6381
291,6387
292,6393
293,6399
294,6437
295,6466
296,6488
297,6505
298,6518
299,6528
300,6535
301,6541
302,6547
303,6553
304,6591
305,6620
306,6642
307,6658
308,6670
309,6679
310,6686
311,6692
312,6698
313,6704
314,6741
315,6770
316,6792
317,6808
318,6820
319,6829
320,6836
321,6842
322,6848
323,6854
324,6891
325,6919
326,6940
327,6956
328,6968
329,6977
330,6984
331,6990
332,6996
333,7000
