eval_index,update,segment,gamma,max_episode_steps,difficulty,peak_territory_frac,self_tiles,opp_tiles,ticks,winner
61,619,1,0.995,2500,easy,0.032599608386685144,0.0,807025.0,13941,OPPONENT
62,629,1,0.995,2500,easy,0.034336649557484736,62716.0,1459952.0,12431,OPPONENT
63,639,1,0.995,2500,easy,0.02150855958690813,0.0,966479.0,24821,OPPONENT
64,649,1,0.995,2500,easy,3.415864412955235e-05,0.0,891885.0,25002,
65,659,1,0.995,2500,easy,7.36841243460534e-05,78.0,595236.0,25002,
66,669,1,0.995,2500,easy,0.06988150307331602,105235.0,1464524.0,13401,OPPONENT
67,679,1,0.995,2500,easy,0.03558952654685575,37144.0,834235.0,7501,OPPONENT
68,689,1,0.995,2500,easy,0.0435056990147466,0.0,343452.0,25002,
69,699,1,0.995,2500,easy,0.03208889998751405,0.0,470891.0,11541,OPPONENT
70,709,1,0.995,2500,easy,0.2502116358204,129495.0,129035.0,25002,
71,719,1,0.995,2500,easy,0.0019014978565450808,0.0,929864.0,25002,
72,729,1,0.995,2500,easy,0.11639451761272328,178556.0,647684.0,25002,
73,739,1,0.995,2500,easy,0.11522072516157301,49244.0,306183.0,5561,OPPONENT
74,749,1,0.995,2500,easy,0.0030755305982969132,4707.0,825449.0,25002,
75,759,1,0.995,2500,easy,0.005216353824170031,3043.0,470147.0,12301,OPPONENT
76,769,1,0.995,2500,easy,1.650056101907465e-05,0.0,806906.0,12811,OPPONENT
77,779,1,0.995,2500,easy,0.06193258957558586,0.0,680880.0,25002,
78,789,1,0.995,2500,easy,0.004094389955804478,4268.0,832285.0,9431,OPPONENT
79,799,1,0.995,2500,easy,0.4624931877713904,276412.0,315828.0,25002,
80,809,1,0.995,2500,easy,0.8043433656224015,938115.0,171324.0,17531,AGENT
81,819,1,0.995,2500,easy,0.49591320203568806,207688.0,209632.0,25002,
82,829,1,0.995,2500,easy,0.010428619642254472,8848.0,679776.0,7661,OPPONENT
83,839,1,0.995,2500,easy,0.4306783665204185,164817.0,679420.0,17801,OPPONENT
84,849,1,0.995,2500,easy,0.07342213634837853,71875.0,595236.0,25002,
85,859,1,0.995,2500,easy,0.061832241308069184,0.0,726607.0,16171,OPPONENT
86,869,1,0.995,2500,easy,0.004927197498499731,5197.0,840809.0,7231,OPPONENT
87,879,1,0.995,2500,easy,0.07108192180318439,109319.0,0.0,25002,
88,889,1,0.995,2500,easy,0.08656364819014468,51597.0,284658.0,25002,
89,899,1,0.995,2500,easy,0.102519531713804,0.0,169976.0,8581,OPPONENT
